toolbox.screen.import_cron|Lengow Import Cronjobs
toolbox.screen.cron_status|Status
toolbox.screen.cron_message|Nachricht
toolbox.screen.cron_scheduled_at|Geplant am
toolbox.screen.cron_executed_at|Durchgeführt am
toolbox.screen.cron_finished_at|Beendet am
toolbox.screen.no_cron_job_yet|Keine cronjobs für jetzt geplant
toolbox.screen.cron_see_message|Siehe nachricht
toolbox.screen.checksum_information|Integrität der Dateiprüfsumme
toolbox.screen.file_not_exists|checkmd5.csv Datei ist nicht verfügbar. Die Prüfung ist nicht möglich !
toolbox.screen.summary|Zusammenfassung
toolbox.screen.file_checked|%{nb_file} Dateien überprüft
toolbox.screen.file_modified|%{nb_file} Dateien geändert
toolbox.screen.file_deleted|%{nb_file} Dateien gelöscht
toolbox.screen.list_modified_file|Liste der geänderten Dateien
toolbox.screen.list_deleted_file|Liste der gelöschten Dateien
toolbox.screen.action_information|Aktionen durch Lengow
toolbox.table.title|Aktionen durch Lengow
toolbox.table.id|ID
toolbox.table.order_id|ID Bestellung
toolbox.table.action_id|Action ID
toolbox.table.order_line_sku|ID Bestellzeilen
toolbox.table.action_type| Aktionstyp
toolbox.table.retry| Wiederholen
toolbox.table.parameters|Einstellungen
toolbox.table.state|Status
toolbox.table.state_processing| wird durchgeführt
toolbox.table.state_complete|fertig
toolbox.table.created_at|Erstellt am
toolbox.table.updated_at|Aktualisiert am
lengow_setting.global_setting|Globale Einstellungen
lengow_setting.global_plugin_version_title|Version des Plugins
lengow_setting.global_magento_version_title|Version von Magento
lengow_setting.global_plugin_compatibility_title|Kompatibilität des Plugins
lengow_setting.global_plugin_compatibility_yes| Magento-Version ist kompatibel
lengow_setting.global_plugin_compatibility_no| Magento-Version ist nicht kompatibel
lengow_setting.global_server_ip_title|IP Ihres Servers
lengow_setting.global_information_credential|Um Shop Zugangsdaten zu ändern, wählen Sie bitte einen Shop aus
lengow_setting.global_store_credential| Benutzer-Credentials
lengow_setting.global_account_id_title|Account ID
lengow_setting.global_account_id_comment|Ihr Lengow Account ID
lengow_setting.global_access_token_title| Zugangstoken
lengow_setting.global_access_token_comment| Ihr Lengow-Zugangstoken
lengow_setting.global_secret_token_title|Geheimtoken
lengow_setting.global_secret_token_comment|Ihr Geheimtoken
lengow_setting.global_store_enable_title|Shop aktivieren
lengow_setting.global_store_enable_comment|Verbindung zwischen Lengow und Shop aktivieren
lengow_setting.global_catalog_id_title|Katalog-ID
lengow_setting.global_catalog_id_comment|Ihre Katalog-ID für den Import von Bestellungen.<br />Getrennt durch ' ; '
lengow_setting.global_advanced_setting|Alle erweiterten Einstellungen
lengow_setting.global_tracking_enable_label|Aktivieren Sie den Lengow-Tracker
lengow_setting.global_tracking_enable_comment|Mit diesem Tracker können Sie die auf Ihrer Website generierten Bestellstatistiken direkt in Lengow abrufen.
lengow_setting.global_tracking_id_label|Tracker Product ID
lengow_setting.global_tracking_id_comment|Der Name der eindeutigen Kennung, die in Lengow angegeben ist
lengow_setting.global_authorized_ip_enable_label|Aktivieren Sie die Autorisierung über IP
lengow_setting.global_authorized_ip_enable_comment|Aktivieren Sie diese Option, wenn Sie Ihren Export über IP sichern wollen. Standartmäßig ist ihr Export über einen Sicherheitsschlüssel gespeichert.
lengow_setting.global_authorized_ip_label|IP authorisiert
lengow_setting.global_authorized_ip_comment|Authorisierter Zugang durch IP, getrennt durch ;
